epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.977,1.46555,1.55579,1.55046,0.51563,0.15047,0.15479,0.07824,1.77801,1.77212,1.81958,0.000475971,0.000475971,0.000475971
2,551.253,1.69451,1.78182,1.71417,0.58159,0.16513,0.16156,0.08373,1.71715,1.7271,1.77189,0.000933448,0.000933448,0.000933448
3,810.951,1.65943,1.73783,1.69188,0.6114,0.14371,0.1544,0.08595,1.68638,1.73313,1.7359,0.00137206,0.00137206,0.00137206
4,1069.89,1.59387,1.66603,1.63717,0.69989,0.17297,0.18409,0.10036,1.60259,1.66083,1.65636,0.00134412,0.00134412,0.00134412
5,1336.07,1.50803,1.57246,1.58093,0.81029,0.1838,0.19906,0.11309,1.53274,1.48894,1.61423,0.00131582,0.00131582,0.00131582
6,1595.83,1.44574,1.4801,1.54293,0.8866,0.16409,0.19185,0.10842,1.53991,1.51152,1.60569,0.00128753,0.00128753,0.00128753
7,1855.18,1.4263,1.43665,1.52522,0.71946,0.17343,0.2039,0.11736,1.49227,1.43183,1.58673,0.00125923,0.00125923,0.00125923
8,2115.09,1.37514,1.35578,1.49636,0.65845,0.21659,0.22332,0.13291,1.43132,1.34197,1.5498,0.00123094,0.00123094,0.00123094
9,2375.91,1.35319,1.33187,1.47506,0.63128,0.21948,0.22517,0.1331,1.42807,1.36083,1.55084,0.00120265,0.00120265,0.00120265
10,2636.08,1.31996,1.28374,1.44919,0.6378,0.22374,0.23208,0.13707,1.4319,1.32112,1.54529,0.00117435,0.00117435,0.00117435
11,2896.58,1.30044,1.26627,1.4443,0.67549,0.22634,0.2378,0.14057,1.40205,1.29056,1.52849,0.00114606,0.00114606,0.00114606
12,3156.6,1.28436,1.22801,1.42756,0.80592,0.20752,0.24046,0.1439,1.39385,1.28109,1.50652,0.00111776,0.00111776,0.00111776
13,3416.33,1.27289,1.22956,1.42519,0.68883,0.2204,0.24078,0.14553,1.37713,1.26871,1.51573,0.00108947,0.00108947,0.00108947
14,3676.59,1.23567,1.18425,1.39641,0.70517,0.22152,0.24414,0.14859,1.34481,1.2468,1.48592,0.00106118,0.00106118,0.00106118
15,3936.56,1.23466,1.17375,1.40046,0.71405,0.22079,0.25027,0.15218,1.33887,1.19674,1.48828,0.00103288,0.00103288,0.00103288
16,4196.93,1.20875,1.14274,1.37774,0.41863,0.24754,0.25765,0.15624,1.33334,1.18731,1.46981,0.00100459,0.00100459,0.00100459
17,4457.62,1.19561,1.12367,1.37255,0.70063,0.24533,0.26022,0.15971,1.32203,1.17949,1.47658,0.000976293,0.000976293,0.000976293
18,4717.85,1.17743,1.09082,1.35547,0.74764,0.23124,0.26204,0.161,1.31408,1.17358,1.45694,0.000947999,0.000947999,0.000947999
19,4978.33,1.16198,1.07871,1.35092,0.69925,0.23667,0.26382,0.16148,1.30878,1.16641,1.45812,0.000919704,0.000919704,0.000919704
20,5239.14,1.1551,1.06045,1.33893,0.68139,0.25113,0.275,0.17004,1.29872,1.1215,1.45797,0.00089141,0.00089141,0.00089141
21,5498.94,1.14414,1.04142,1.33463,0.40627,0.2557,0.26925,0.1661,1.30101,1.14217,1.46245,0.000863116,0.000863116,0.000863116
22,5758.55,1.12856,1.00258,1.32381,0.36344,0.27683,0.27635,0.17164,1.29411,1.11371,1.45594,0.000834822,0.000834822,0.000834822
23,6018.38,1.11892,1.01464,1.32116,0.33969,0.26105,0.27743,0.17,1.28702,1.09339,1.44504,0.000806528,0.000806528,0.000806528
24,6277.74,1.10324,0.99335,1.31185,0.70803,0.24166,0.27297,0.16847,1.27764,1.10837,1.44251,0.000778233,0.000778233,0.000778233
25,6536.85,1.09041,0.96325,1.29845,0.36185,0.25754,0.28111,0.1738,1.26861,1.07457,1.43555,0.000749939,0.000749939,0.000749939
26,6796.88,1.08085,0.95061,1.29575,0.35081,0.26834,0.2845,0.17594,1.26062,1.06455,1.43077,0.000721645,0.000721645,0.000721645
27,7056.73,1.07484,0.95319,1.28629,0.45357,0.23275,0.27048,0.17021,1.24927,1.13055,1.41453,0.000693351,0.000693351,0.000693351
28,7316.06,1.06096,0.93359,1.28002,0.39634,0.27273,0.28476,0.17855,1.25195,1.05611,1.42357,0.000665057,0.000665057,0.000665057
29,7576.28,1.03867,0.90058,1.26521,0.37347,0.26875,0.28493,0.17754,1.24754,1.04348,1.41517,0.000636762,0.000636762,0.000636762
30,7835.58,1.03951,0.91956,1.27167,0.52327,0.27854,0.29226,0.17987,1.25958,1.05396,1.43499,0.000608468,0.000608468,0.000608468
31,8095.77,1.0267,0.88122,1.25495,0.37304,0.27895,0.28546,0.17926,1.2353,1.05814,1.41251,0.000580174,0.000580174,0.000580174
32,8355.11,1.00005,0.85707,1.24568,0.45046,0.28278,0.29583,0.18401,1.23965,1.02849,1.41181,0.00055188,0.00055188,0.00055188
33,8615.43,1.00291,0.85429,1.24733,0.46208,0.26239,0.28636,0.1802,1.24169,1.04224,1.41912,0.000523586,0.000523586,0.000523586
34,8874.44,0.99199,0.84658,1.23258,0.38376,0.27297,0.28876,0.18204,1.24071,1.03273,1.41827,0.000495291,0.000495291,0.000495291
35,9133.33,0.98493,0.83697,1.22405,0.29519,0.30053,0.23086,0.14449,1.2348,1.3107,1.41502,0.000466997,0.000466997,0.000466997
36,9392.26,0.97588,0.82276,1.22754,0.28576,0.24387,0.23714,0.15408,1.23376,1.34715,1.41482,0.000438703,0.000438703,0.000438703
37,9651.26,0.96257,0.79879,1.20442,0.39676,0.28171,0.29014,0.18165,1.23129,1.01504,1.40637,0.000410409,0.000410409,0.000410409
38,9909.98,0.96122,0.804,1.21184,0.37209,0.30411,0.29778,0.18882,1.21748,1.01474,1.40423,0.000382115,0.000382115,0.000382115
39,10169.8,0.93779,0.76765,1.1986,0.40304,0.29171,0.29477,0.18559,1.21284,1.02218,1.39579,0.00035382,0.00035382,0.00035382
40,10428.5,0.9314,0.76038,1.19378,0.34722,0.31121,0.2977,0.18834,1.21338,1.01072,1.39895,0.000325526,0.000325526,0.000325526
41,10712.6,0.90034,0.6909,1.16708,0.44217,0.27384,0.29727,0.18612,1.2217,1.01295,1.40685,0.000297232,0.000297232,0.000297232
42,10971,0.8795,0.67187,1.14994,0.37092,0.31816,0.30227,0.1884,1.22656,1.01727,1.41067,0.000268938,0.000268938,0.000268938
43,11229.7,0.87146,0.65119,1.14328,0.36631,0.30244,0.29935,0.18596,1.21855,1.01819,1.41113,0.000240644,0.000240644,0.000240644
44,11488.3,0.85553,0.64409,1.1366,0.3821,0.30529,0.29781,0.18645,1.22278,1.01122,1.41533,0.000212349,0.000212349,0.000212349
45,11746.8,0.83795,0.61722,1.12515,0.3788,0.30202,0.29748,0.18654,1.22812,1.011,1.42403,0.000184055,0.000184055,0.000184055
46,12005.3,0.83026,0.60484,1.11395,0.34274,0.30909,0.2973,0.18718,1.22299,1.0093,1.42235,0.000155761,0.000155761,0.000155761
47,12263.8,0.82243,0.58942,1.11308,0.37236,0.31019,0.29955,0.18874,1.21499,1.01247,1.41668,0.000127467,0.000127467,0.000127467
48,12521.9,0.8125,0.57803,1.10571,0.37458,0.29995,0.29752,0.18826,1.22259,1.02412,1.42356,9.91726e-05,9.91726e-05,9.91726e-05
49,12780,0.79788,0.5639,1.09145,0.36832,0.31322,0.2976,0.18671,1.21459,1.01655,1.42148,7.08784e-05,7.08784e-05,7.08784e-05
50,13038.5,0.79162,0.55816,1.0904,0.38302,0.29917,0.30062,0.18934,1.21207,1.00682,1.41913,4.25842e-05,4.25842e-05,4.25842e-05
